run_id,app,eligible,stage_success,skill_invoked,is_error,stop_reason,num_turns,tool_calls,duration_s,duration_api_s,harness_wall_s,total_cost_usd,input_tokens,cache_creation_tokens,cache_read_tokens,effective_input_tokens,output_tokens,effective_tokens,hinted_elements,files_with_hints,files_changed,lines_added,lines_removed,attribute_id,attribute_role,attribute_action,attribute_state,attribute_target,attribute_controls,attribute_options,role_navigation,role_action,role_option,role_input,role_select,role_toggle,role_slider,role_observable,role_region,role_collection,validator_errors,validator_warnings,validator_info,validator_files_scanned,validator_hinted_elements,cost_per_hinted_element,duration_s_per_hinted_element,effective_tokens_per_hinted_element
official-injections,WebTestBench_0001,"=AND(LOWER(E2&"""")=""true"",LOWER(F2&"""")=""false"")",True,True,False,end_turn,54,52,420.2,399.0,424.0,3.0562777499999987,77,141567,2513764,"=IF(COUNT(N2,O2,P2)<3,"""",N2+O2*2+P2*0.1)",36549,"=IF(COUNT(Q2,R2)<2,"""",Q2+R2*3)",81,11,12,453,84,81,80,12,34,19,8,4,18,8,4,11,4,4,1,15,2,8,0,0,0,77,75,"=IF(OR(COUNT(M2,T2)<2,T2<=0),"""",M2/T2)","=IF(OR(COUNT(J2,T2)<2,T2<=0),"""",J2/T2)","=IF(OR(COUNT(S2,T2)<2,T2<=0),"""",S2/T2)"
official-injections,WebTestBench_0003,"=AND(LOWER(E3&"""")=""true"",LOWER(F3&"""")=""false"")",True,True,False,end_turn,86,84,421.2,397.0,425.0,3.09231875,97,95941,3144011,"=IF(COUNT(N3,O3,P3)<3,"""",N3+O3*2+P3*0.1)",36788,"=IF(COUNT(Q3,R3)<2,"""",Q3+R3*3)",82,10,10,463,68,82,81,9,41,12,7,6,12,9,9,10,6,0,0,24,6,5,0,0,0,75,81,"=IF(OR(COUNT(M3,T3)<2,T3<=0),"""",M3/T3)","=IF(OR(COUNT(J3,T3)<2,T3<=0),"""",J3/T3)","=IF(OR(COUNT(S3,T3)<2,T3<=0),"""",S3/T3)"
official-injections,WebTestBench_0004,"=AND(LOWER(E4&"""")=""true"",LOWER(F4&"""")=""false"")",True,True,False,end_turn,88,86,563.2,540.8,566.1,3.4922910000000003,97,115672,3347578,"=IF(COUNT(N4,O4,P4)<3,"""",N4+O4*2+P4*0.1)",43782,"=IF(COUNT(Q4,R4)<2,"""",Q4+R4*3)",67,10,10,471,75,67,81,11,43,13,7,0,13,4,0,5,0,5,0,23,4,9,0,0,0,76,63,"=IF(OR(COUNT(M4,T4)<2,T4<=0),"""",M4/T4)","=IF(OR(COUNT(J4,T4)<2,T4<=0),"""",J4/T4)","=IF(OR(COUNT(S4,T4)<2,T4<=0),"""",S4/T4)"
official-injections,WebTestBench_0005,"=AND(LOWER(E5&"""")=""true"",LOWER(F5&"""")=""false"")",True,True,False,end_turn,106,104,580.3,550.5,586.4,3.426299,65,111780,2632944,"=IF(COUNT(N5,O5,P5)<3,"""",N5+O5*2+P5*0.1)",56415,"=IF(COUNT(Q5,R5)<2,"""",Q5+R5*3)",165,14,14,453,132,165,165,25,94,4,3,3,4,23,13,23,3,3,0,64,17,15,0,15,0,80,165,"=IF(OR(COUNT(M5,T5)<2,T5<=0),"""",M5/T5)","=IF(OR(COUNT(J5,T5)<2,T5<=0),"""",J5/T5)","=IF(OR(COUNT(S5,T5)<2,T5<=0),"""",S5/T5)"
official-injections,WebTestBench_0006,"=AND(LOWER(E6&"""")=""true"",LOWER(F6&"""")=""false"")",True,True,False,end_turn,98,96,478.4,434.5,481.7,3.8019015000000005,121,87326,4429714,"=IF(COUNT(N6,O6,P6)<3,"""",N6+O6*2+P6*0.1)",41606,"=IF(COUNT(Q6,R6)<2,"""",Q6+R6*3)",89,11,12,518,103,89,89,17,55,2,5,7,2,16,1,9,7,1,0,33,5,11,0,0,0,78,89,"=IF(OR(COUNT(M6,T6)<2,T6<=0),"""",M6/T6)","=IF(OR(COUNT(J6,T6)<2,T6<=0),"""",J6/T6)","=IF(OR(COUNT(S6,T6)<2,T6<=0),"""",S6/T6)"
official-injections,WebTestBench_0010,"=AND(LOWER(E7&"""")=""true"",LOWER(F7&"""")=""false"")",True,True,False,end_turn,75,73,547.5,517.7,551.9,2.4386335,66,72600,2073753,"=IF(COUNT(N7,O7,P7)<3,"""",N7+O7*2+P7*0.1)",37887,"=IF(COUNT(Q7,R7)<2,"""",Q7+R7*3)",90,11,11,561,77,90,90,17,44,9,13,6,9,15,8,9,7,2,0,27,8,5,0,1,0,74,90,"=IF(OR(COUNT(M7,T7)<2,T7<=0),"""",M7/T7)","=IF(OR(COUNT(J7,T7)<2,T7<=0),"""",J7/T7)","=IF(OR(COUNT(S7,T7)<2,T7<=0),"""",S7/T7)"
official-injections,WebTestBench_0019,"=AND(LOWER(E8&"""")=""true"",LOWER(F8&"""")=""false"")",True,True,False,end_turn,105,103,438.6,414.2,441.9,2.96378875,82,88565,2855021,"=IF(COUNT(N8,O8,P8)<3,"""",N8+O8*2+P8*0.1)",39273,"=IF(COUNT(Q8,R8)<2,"""",Q8+R8*3)",79,12,12,468,59,79,84,16,43,15,3,1,13,15,1,11,1,0,0,25,7,5,0,6,0,84,78,"=IF(OR(COUNT(M8,T8)<2,T8<=0),"""",M8/T8)","=IF(OR(COUNT(J8,T8)<2,T8<=0),"""",J8/T8)","=IF(OR(COUNT(S8,T8)<2,T8<=0),"""",S8/T8)"
official-injections,WebTestBench_0023,"=AND(LOWER(E9&"""")=""true"",LOWER(F9&"""")=""false"")",True,True,False,end_turn,99,97,598.9,575.7,604.8,4.225944500000001,131,109866,4267050,"=IF(COUNT(N9,O9,P9)<3,"""",N9+O9*2+P9*0.1)",56184,"=IF(COUNT(Q9,R9)<2,"""",Q9+R9*3)",113,14,15,810,144,113,122,25,47,35,4,3,34,22,3,12,3,1,0,21,6,5,0,0,0,79,107,"=IF(OR(COUNT(M9,T9)<2,T9<=0),"""",M9/T9)","=IF(OR(COUNT(J9,T9)<2,T9<=0),"""",J9/T9)","=IF(OR(COUNT(S9,T9)<2,T9<=0),"""",S9/T9)"
official-injections,WebTestBench_0045,"=AND(LOWER(E10&"""")=""true"",LOWER(F10&"""")=""false"")",True,True,False,end_turn,47,45,257.8,231.1,263.2,1.4685237500000003,53,66009,1206651,"=IF(COUNT(N10,O10,P10)<3,"""",N10+O10*2+P10*0.1)",18075,"=IF(COUNT(Q10,R10)<2,"""",Q10+R10*3)",29,5,5,165,18,29,29,12,17,1,5,2,1,6,2,3,2,4,0,8,1,2,0,0,0,69,29,"=IF(OR(COUNT(M10,T10)<2,T10<=0),"""",M10/T10)","=IF(OR(COUNT(J10,T10)<2,T10<=0),"""",J10/T10)","=IF(OR(COUNT(S10,T10)<2,T10<=0),"""",S10/T10)"
official-injections,WebTestBench_0054,"=AND(LOWER(E11&"""")=""true"",LOWER(F11&"""")=""false"")",True,True,False,end_turn,56,54,335.2,313.1,339.3,1.8262327499999997,67,54195,1793054,"=IF(COUNT(N11,O11,P11)<3,"""",N11+O11*2+P11*0.1)",23606,"=IF(COUNT(Q11,R11)<2,"""",Q11+R11*3)",32,8,9,155,23,32,31,9,19,8,3,1,8,4,0,1,1,4,0,8,1,4,0,0,0,73,31,"=IF(OR(COUNT(M11,T11)<2,T11<=0),"""",M11/T11)","=IF(OR(COUNT(J11,T11)<2,T11<=0),"""",J11/T11)","=IF(OR(COUNT(S11,T11)<2,T11<=0),"""",S11/T11)"
