run_id,app,eligible,stage_success,skill_invoked,is_error,stop_reason,num_turns,tool_calls,duration_s,duration_api_s,harness_wall_s,total_cost_usd,input_tokens,cache_creation_tokens,cache_read_tokens,effective_input_tokens,output_tokens,effective_tokens,hinted_elements,files_with_hints,files_changed,lines_added,lines_removed,attribute_id,attribute_role,attribute_action,attribute_state,attribute_target,attribute_controls,attribute_options,role_navigation,role_action,role_option,role_input,role_select,role_toggle,role_slider,role_observable,role_region,role_collection,validator_errors,validator_warnings,validator_info,validator_files_scanned,validator_hinted_elements,cost_per_hinted_element,duration_s_per_hinted_element,effective_tokens_per_hinted_element
2026-09-05_opus,WebTestBench_0001,"=AND(LOWER(E2&"""")=""true"",LOWER(F2&"""")=""false"")",True,True,False,end_turn,95,93,870.9,733.0,875.3,6.640508749999999,162,129449,8387781,"=IF(COUNT(N2,O2,P2)<3,"""",N2+O2*2+P2*0.1)",65450,"=IF(COUNT(Q2,R2)<2,"""",Q2+R2*3)",103,11,13,649,109,103,100,16,52,21,12,5,21,9,4,11,4,2,1,28,7,13,0,0,0,77,100,"=IF(OR(COUNT(M2,T2)<2,T2<=0),"""",M2/T2)","=IF(OR(COUNT(J2,T2)<2,T2<=0),"""",J2/T2)","=IF(OR(COUNT(S2,T2)<2,T2<=0),"""",S2/T2)"
2026-09-05_opus,WebTestBench_0003,"=AND(LOWER(E3&"""")=""true"",LOWER(F3&"""")=""false"")",True,True,False,end_turn,94,92,793.9,662.1,801.5,6.004200000000003,154,122416,7511516,"=IF(COUNT(N3,O3,P3)<3,"""",N3+O3*2+P3*0.1)",59283,"=IF(COUNT(Q3,R3)<2,"""",Q3+R3*3)",97,9,9,624,89,97,97,12,58,12,7,6,12,8,9,10,6,1,0,41,5,5,0,0,0,74,97,"=IF(OR(COUNT(M3,T3)<2,T3<=0),"""",M3/T3)","=IF(OR(COUNT(J3,T3)<2,T3<=0),"""",J3/T3)","=IF(OR(COUNT(S3,T3)<2,T3<=0),"""",S3/T3)"
2026-09-05_opus,WebTestBench_0004,"=AND(LOWER(E4&"""")=""true"",LOWER(F4&"""")=""false"")",True,True,False,end_turn,137,134,1314.3,1120.4,1321.5,10.281883750000006,252,228826,12593180,"=IF(COUNT(N4,O4,P4)<3,"""",N4+O4*2+P4*0.1)",86950,"=IF(COUNT(Q4,R4)<2,"""",Q4+R4*3)",93,10,10,597,83,93,90,16,48,13,8,0,13,10,0,6,0,6,0,37,6,12,0,1,0,76,90,"=IF(OR(COUNT(M4,T4)<2,T4<=0),"""",M4/T4)","=IF(OR(COUNT(J4,T4)<2,T4<=0),"""",J4/T4)","=IF(OR(COUNT(S4,T4)<2,T4<=0),"""",S4/T4)"
2026-09-05_opus,WebTestBench_0005,"=AND(LOWER(E5&"""")=""true"",LOWER(F5&"""")=""false"")",True,True,False,end_turn,127,124,1108.9,966.2,1116.4,9.04487925,206,180105,11166886,"=IF(COUNT(N5,O5,P5)<3,"""",N5+O5*2+P5*0.1)",80356,"=IF(COUNT(Q5,R5)<2,"""",Q5+R5*3)",160,14,14,807,138,160,160,30,92,4,3,3,4,23,4,23,3,3,0,66,19,15,0,15,0,80,160,"=IF(OR(COUNT(M5,T5)<2,T5<=0),"""",M5/T5)","=IF(OR(COUNT(J5,T5)<2,T5<=0),"""",J5/T5)","=IF(OR(COUNT(S5,T5)<2,T5<=0),"""",S5/T5)"
2026-09-05_opus,WebTestBench_0006,"=AND(LOWER(E6&"""")=""true"",LOWER(F6&"""")=""false"")",True,True,False,end_turn,125,122,886.7,810.1,894.2,8.249924249999998,178,182357,10202515,"=IF(COUNT(N6,O6,P6)<3,"""",N6+O6*2+P6*0.1)",65450,"=IF(COUNT(Q6,R6)<2,"""",Q6+R6*3)",130,14,14,818,151,130,130,20,69,2,6,7,2,16,13,9,7,1,0,56,9,14,0,0,0,78,128,"=IF(OR(COUNT(M6,T6)<2,T6<=0),"""",M6/T6)","=IF(OR(COUNT(J6,T6)<2,T6<=0),"""",J6/T6)","=IF(OR(COUNT(S6,T6)<2,T6<=0),"""",S6/T6)"
2026-09-05_opus,WebTestBench_0010,"=AND(LOWER(E7&"""")=""true"",LOWER(F7&"""")=""false"")",True,True,False,end_turn,128,125,1237.8,1026.1,1244.5,8.586849500000001,198,197908,9830886,"=IF(COUNT(N7,O7,P7)<3,"""",N7+O7*2+P7*0.1)",81502,"=IF(COUNT(Q7,R7)<2,"""",Q7+R7*3)",118,11,11,598,108,118,115,21,45,13,14,6,16,14,11,10,6,0,0,34,18,6,0,0,0,74,115,"=IF(OR(COUNT(M7,T7)<2,T7<=0),"""",M7/T7)","=IF(OR(COUNT(J7,T7)<2,T7<=0),"""",J7/T7)","=IF(OR(COUNT(S7,T7)<2,T7<=0),"""",S7/T7)"
2026-09-05_opus,WebTestBench_0019,"=AND(LOWER(E8&"""")=""true"",LOWER(F8&"""")=""false"")",True,True,False,end_turn,119,117,847.5,706.4,854.8,7.223044500000001,206,121338,9911500,"=IF(COUNT(N8,O8,P8)<3,"""",N8+O8*2+P8*0.1)",60296,"=IF(COUNT(Q8,R8)<2,"""",Q8+R8*3)",107,13,13,620,84,107,103,15,55,23,3,1,22,12,1,11,1,1,0,40,7,7,0,0,0,84,102,"=IF(OR(COUNT(M8,T8)<2,T8<=0),"""",M8/T8)","=IF(OR(COUNT(J8,T8)<2,T8<=0),"""",J8/T8)","=IF(OR(COUNT(S8,T8)<2,T8<=0),"""",S8/T8)"
2026-09-05_opus,WebTestBench_0023,"=AND(LOWER(E9&"""")=""true"",LOWER(F9&"""")=""false"")",True,True,False,end_turn,130,127,1175.4,1028.0,1182.7,8.761084749999998,194,172224,10224299,"=IF(COUNT(N9,O9,P9)<3,"""",N9+O9*2+P9*0.1)",88018,"=IF(COUNT(Q9,R9)<2,"""",Q9+R9*3)",149,15,15,979,159,149,148,28,68,38,15,3,38,27,3,12,3,4,2,43,9,7,0,0,0,79,148,"=IF(OR(COUNT(M9,T9)<2,T9<=0),"""",M9/T9)","=IF(OR(COUNT(J9,T9)<2,T9<=0),"""",J9/T9)","=IF(OR(COUNT(S9,T9)<2,T9<=0),"""",S9/T9)"
2026-09-05_opus,WebTestBench_0045,"=AND(LOWER(E10&"""")=""true"",LOWER(F10&"""")=""false"")",True,True,False,end_turn,73,71,564.7,441.5,571.9,3.6151174999999993,116,85744,4271021,"=IF(COUNT(N10,O10,P10)<3,"""",N10+O10*2+P10*0.1)",37704,"=IF(COUNT(Q10,R10)<2,"""",Q10+R10*3)",37,5,5,214,29,37,37,12,22,1,4,2,1,6,2,3,2,4,0,13,4,2,0,0,0,69,37,"=IF(OR(COUNT(M10,T10)<2,T10<=0),"""",M10/T10)","=IF(OR(COUNT(J10,T10)<2,T10<=0),"""",J10/T10)","=IF(OR(COUNT(S10,T10)<2,T10<=0),"""",S10/T10)"
2026-09-05_opus,WebTestBench_0054,"=AND(LOWER(E11&"""")=""true"",LOWER(F11&"""")=""false"")",True,True,False,end_turn,82,80,609.3,518.6,616.1,4.02508725,106,99869,4613818,"=IF(COUNT(N11,O11,P11)<3,"""",N11+O11*2+P11*0.1)",43718,"=IF(COUNT(Q11,R11)<2,"""",Q11+R11*3)",43,7,10,236,38,43,42,15,18,7,6,1,7,5,0,1,1,4,0,13,4,7,0,0,0,73,42,"=IF(OR(COUNT(M11,T11)<2,T11<=0),"""",M11/T11)","=IF(OR(COUNT(J11,T11)<2,T11<=0),"""",J11/T11)","=IF(OR(COUNT(S11,T11)<2,T11<=0),"""",S11/T11)"
