run_id,app,eligible,stage_success,skill_invoked,is_error,stop_reason,num_turns,tool_calls,duration_s,duration_api_s,harness_wall_s,total_cost_usd,input_tokens,cache_creation_tokens,cache_read_tokens,effective_input_tokens,output_tokens,effective_tokens,hinted_elements,files_with_hints,files_changed,lines_added,lines_removed,attribute_id,attribute_role,attribute_action,attribute_state,attribute_target,attribute_controls,attribute_options,role_navigation,role_action,role_option,role_input,role_select,role_toggle,role_slider,role_observable,role_region,role_collection,validator_errors,validator_warnings,validator_info,validator_files_scanned,validator_hinted_elements,cost_per_hinted_element,duration_s_per_hinted_element,effective_tokens_per_hinted_element
2026-09-05_sonnet,WebTestBench_0001,"=AND(LOWER(E2&"""")=""true"",LOWER(F2&"""")=""false"")",True,True,False,end_turn,64,62,558.6,491.2,563.2,5.07390425,126,188839,5529257,"=IF(COUNT(N2,O2,P2)<3,"""",N2+O2*2+P2*0.1)",45116,"=IF(COUNT(Q2,R2)<2,"""",Q2+R2*3)",103,13,13,672,108,103,98,18,43,19,11,5,18,9,4,13,4,4,1,20,9,8,0,0,2,77,90,"=IF(OR(COUNT(M2,T2)<2,T2<=0),"""",M2/T2)","=IF(OR(COUNT(J2,T2)<2,T2<=0),"""",J2/T2)","=IF(OR(COUNT(S2,T2)<2,T2<=0),"""",S2/T2)"
2026-09-05_sonnet,WebTestBench_0003,"=AND(LOWER(E3&"""")=""true"",LOWER(F3&"""")=""false"")",True,True,False,end_turn,90,87,816.4,766.2,822.9,6.283731750000001,124,243051,4964844,"=IF(COUNT(N3,O3,P3)<3,"""",N3+O3*2+P3*0.1)",67007,"=IF(COUNT(Q3,R3)<2,"""",Q3+R3*3)",75,9,9,512,81,75,74,15,37,11,8,8,10,8,6,10,6,1,0,18,5,5,0,0,0,74,74,"=IF(OR(COUNT(M3,T3)<2,T3<=0),"""",M3/T3)","=IF(OR(COUNT(J3,T3)<2,T3<=0),"""",J3/T3)","=IF(OR(COUNT(S3,T3)<2,T3<=0),"""",S3/T3)"
2026-09-05_sonnet,WebTestBench_0004,"=AND(LOWER(E4&"""")=""true"",LOWER(F4&"""")=""false"")",True,True,False,end_turn,84,81,893.8,798.0,901.6,6.349692249999999,122,218297,5620064,"=IF(COUNT(N4,O4,P4)<3,"""",N4+O4*2+P4*0.1)",68405,"=IF(COUNT(Q4,R4)<2,"""",Q4+R4*3)",76,10,10,572,71,76,73,16,40,13,9,0,13,6,0,5,0,3,0,17,4,9,0,0,0,76,57,"=IF(OR(COUNT(M4,T4)<2,T4<=0),"""",M4/T4)","=IF(OR(COUNT(J4,T4)<2,T4<=0),"""",J4/T4)","=IF(OR(COUNT(S4,T4)<2,T4<=0),"""",S4/T4)"
2026-09-05_sonnet,WebTestBench_0005,"=AND(LOWER(E5&"""")=""true"",LOWER(F5&"""")=""false"")",True,True,False,end_turn,98,96,764.6,654.1,771.8,5.889777749999996,124,134491,6701884,"=IF(COUNT(N5,O5,P5)<3,"""",N5+O5*2+P5*0.1)",67885,"=IF(COUNT(Q5,R5)<2,"""",Q5+R5*3)",131,14,14,535,122,131,131,32,77,4,6,3,4,23,1,23,3,3,0,49,10,15,0,10,0,80,131,"=IF(OR(COUNT(M5,T5)<2,T5<=0),"""",M5/T5)","=IF(OR(COUNT(J5,T5)<2,T5<=0),"""",J5/T5)","=IF(OR(COUNT(S5,T5)<2,T5<=0),"""",S5/T5)"
2026-09-05_sonnet,WebTestBench_0006,"=AND(LOWER(E6&"""")=""true"",LOWER(F6&"""")=""false"")",True,True,False,end_turn,105,102,833.6,724.9,841.2,8.250381499999998,174,198681,9665653,"=IF(COUNT(N6,O6,P6)<3,"""",N6+O6*2+P6*0.1)",70356,"=IF(COUNT(Q6,R6)<2,"""",Q6+R6*3)",101,13,14,562,113,101,101,16,51,2,7,7,2,16,12,9,7,2,0,34,9,10,0,0,0,78,101,"=IF(OR(COUNT(M6,T6)<2,T6<=0),"""",M6/T6)","=IF(OR(COUNT(J6,T6)<2,T6<=0),"""",J6/T6)","=IF(OR(COUNT(S6,T6)<2,T6<=0),"""",S6/T6)"
2026-09-05_sonnet,WebTestBench_0010,"=AND(LOWER(E7&"""")=""true"",LOWER(F7&"""")=""false"")",True,True,False,end_turn,76,74,601.0,534.5,608.2,5.6196392500000005,114,200093,5729832,"=IF(COUNT(N7,O7,P7)<3,"""",N7+O7*2+P7*0.1)",60123,"=IF(COUNT(Q7,R7)<2,"""",Q7+R7*3)",79,11,11,439,64,79,79,25,25,9,9,6,9,18,11,9,7,0,0,14,5,6,0,1,0,74,79,"=IF(OR(COUNT(M7,T7)<2,T7<=0),"""",M7/T7)","=IF(OR(COUNT(J7,T7)<2,T7<=0),"""",J7/T7)","=IF(OR(COUNT(S7,T7)<2,T7<=0),"""",S7/T7)"
2026-09-05_sonnet,WebTestBench_0019,"=AND(LOWER(E8&"""")=""true"",LOWER(F8&"""")=""false"")",True,True,False,end_turn,71,69,596.6,530.7,603.9,4.69891475,100,121761,4940573,"=IF(COUNT(N8,O8,P8)<3,"""",N8+O8*2+P8*0.1)",58665,"=IF(COUNT(Q8,R8)<2,"""",Q8+R8*3)",76,13,13,417,55,76,73,17,34,20,6,1,17,12,1,11,1,1,0,17,4,6,0,0,0,84,70,"=IF(OR(COUNT(M8,T8)<2,T8<=0),"""",M8/T8)","=IF(OR(COUNT(J8,T8)<2,T8<=0),"""",J8/T8)","=IF(OR(COUNT(S8,T8)<2,T8<=0),"""",S8/T8)"
2026-09-05_sonnet,WebTestBench_0023,"=AND(LOWER(E9&"""")=""true"",LOWER(F9&"""")=""false"")",True,True,False,end_turn,110,107,1037.0,987.0,1044.3,8.009455,156,231348,7760105,"=IF(COUNT(N9,O9,P9)<3,"""",N9+O9*2+P9*0.1)",87490,"=IF(COUNT(Q9,R9)<2,"""",Q9+R9*3)",118,15,15,716,125,118,118,27,45,36,3,3,36,24,0,12,3,5,2,24,3,9,0,0,0,79,118,"=IF(OR(COUNT(M9,T9)<2,T9<=0),"""",M9/T9)","=IF(OR(COUNT(J9,T9)<2,T9<=0),"""",J9/T9)","=IF(OR(COUNT(S9,T9)<2,T9<=0),"""",S9/T9)"
2026-09-05_sonnet,WebTestBench_0045,"=AND(LOWER(E10&"""")=""true"",LOWER(F10&"""")=""false"")",True,True,False,end_turn,59,57,399.1,338.5,406.6,2.8474055000000007,96,79736,3200207,"=IF(COUNT(N10,O10,P10)<3,"""",N10+O10*2+P10*0.1)",29919,"=IF(COUNT(Q10,R10)<2,"""",Q10+R10*3)",32,5,5,154,19,32,32,12,18,1,5,2,1,6,4,3,2,4,0,9,1,2,0,0,0,69,32,"=IF(OR(COUNT(M10,T10)<2,T10<=0),"""",M10/T10)","=IF(OR(COUNT(J10,T10)<2,T10<=0),"""",J10/T10)","=IF(OR(COUNT(S10,T10)<2,T10<=0),"""",S10/T10)"
2026-09-05_sonnet,WebTestBench_0054,"=AND(LOWER(E11&"""")=""true"",LOWER(F11&"""")=""false"")",True,True,False,end_turn,74,72,665.9,511.0,673.2,4.673930499999999,122,110646,5484622,"=IF(COUNT(N11,O11,P11)<3,"""",N11+O11*2+P11*0.1)",49559,"=IF(COUNT(Q11,R11)<2,"""",Q11+R11*3)",38,7,10,194,38,38,38,9,13,8,3,1,8,4,0,1,1,4,0,11,4,5,0,0,0,73,38,"=IF(OR(COUNT(M11,T11)<2,T11<=0),"""",M11/T11)","=IF(OR(COUNT(J11,T11)<2,T11<=0),"""",J11/T11)","=IF(OR(COUNT(S11,T11)<2,T11<=0),"""",S11/T11)"
