run_id,condition,app,rep,overall_precision,overall_recall,overall_f1,num_turns,tool_calls,duration_s,model_s,tool_s,other_s,input_tokens,cache_creation_tokens,cache_read_tokens,effective_input_tokens,output_tokens,effective_tokens
official_haiku,baseline,WebTestBench_0001,1,0.25,0.1667,0.2,103,102,335.8,235.3,24.2,76.3,695,134059,6177608,"=IF(COUNT(N2,O2,P2)=0,"""",N2+O2*2+P2*0.1)",22600,"=IF(COUNT(Q2,R2)=0,"""",Q2+R2*3)"
official_haiku,baseline,WebTestBench_0001,2,1.0,0.1667,0.2857,104,103,325.4,213.6,25.6,86.2,837,160478,9635092,"=IF(COUNT(N3,O3,P3)=0,"""",N3+O3*2+P3*0.1)",20521,"=IF(COUNT(Q3,R3)=0,"""",Q3+R3*3)"
official_haiku,baseline,WebTestBench_0001,3,1.0,0.1667,0.2857,94,93,311.2,223.3,34.7,53.2,755,145487,6997331,"=IF(COUNT(N4,O4,P4)=0,"""",N4+O4*2+P4*0.1)",22084,"=IF(COUNT(Q4,R4)=0,"""",Q4+R4*3)"
official_haiku,baseline,WebTestBench_0001,4,0.5,0.1667,0.25,91,90,272.3,197.9,18.5,55.9,735,142407,7486848,"=IF(COUNT(N5,O5,P5)=0,"""",N5+O5*2+P5*0.1)",19432,"=IF(COUNT(Q5,R5)=0,"""",Q5+R5*3)"
official_haiku,baseline,WebTestBench_0001,5,0.5,0.5,0.5,82,81,274.8,174.8,18.9,81.1,659,137028,6972088,"=IF(COUNT(N6,O6,P6)=0,"""",N6+O6*2+P6*0.1)",18652,"=IF(COUNT(Q6,R6)=0,"""",Q6+R6*3)"
official_haiku,baseline,WebTestBench_0001,6,0.3333,0.1667,0.2222,88,87,322.4,207.8,41.0,73.6,713,150788,7105148,"=IF(COUNT(N7,O7,P7)=0,"""",N7+O7*2+P7*0.1)",20622,"=IF(COUNT(Q7,R7)=0,"""",Q7+R7*3)"
official_haiku,baseline,WebTestBench_0001,7,0.3333,0.1667,0.2222,85,84,265.3,173.8,20.0,71.5,683,125399,5927097,"=IF(COUNT(N8,O8,P8)=0,"""",N8+O8*2+P8*0.1)",17333,"=IF(COUNT(Q8,R8)=0,"""",Q8+R8*3)"
official_haiku,baseline,WebTestBench_0001,8,0.4,0.3333,0.3636,85,84,275.5,190.6,19.1,65.8,687,128153,6512327,"=IF(COUNT(N9,O9,P9)=0,"""",N9+O9*2+P9*0.1)",18296,"=IF(COUNT(Q9,R9)=0,"""",Q9+R9*3)"
official_haiku,baseline,WebTestBench_0001,9,0.6667,0.3333,0.4444,86,85,288.6,197.6,20.9,70.1,695,143702,6609974,"=IF(COUNT(N10,O10,P10)=0,"""",N10+O10*2+P10*0.1)",19461,"=IF(COUNT(Q10,R10)=0,"""",Q10+R10*3)"
official_haiku,baseline,WebTestBench_0001,10,1.0,0.1667,0.2857,97,96,292.9,204.6,19.6,68.7,779,134970,6490876,"=IF(COUNT(N11,O11,P11)=0,"""",N11+O11*2+P11*0.1)",18844,"=IF(COUNT(Q11,R11)=0,"""",Q11+R11*3)"
official_haiku,baseline,WebTestBench_0001,avg,"=IFERROR(AVERAGE(E2:E11),"""")","=IFERROR(AVERAGE(F2:F11),"""")","=IFERROR(AVERAGE(G2:G11),"""")","=IFERROR(AVERAGE(H2:H11),"""")","=IFERROR(AVERAGE(I2:I11),"""")","=IFERROR(AVERAGE(J2:J11),"""")","=IFERROR(AVERAGE(K2:K11),"""")","=IFERROR(AVERAGE(L2:L11),"""")","=IFERROR(AVERAGE(M2:M11),"""")","=IFERROR(AVERAGE(N2:N11),"""")","=IFERROR(AVERAGE(O2:O11),"""")","=IFERROR(AVERAGE(P2:P11),"""")","=IFERROR(AVERAGE(Q2:Q11),"""")","=IFERROR(AVERAGE(R2:R11),"""")","=IFERROR(AVERAGE(S2:S11),"""")"
official_haiku,baseline,WebTestBench_0001,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E2:E11),COUNT(E2:E11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F2:F11),COUNT(F2:F11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G2:G11),COUNT(G2:G11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H2:H11),COUNT(H2:H11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I2:I11),COUNT(I2:I11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J2:J11),COUNT(J2:J11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K2:K11),COUNT(K2:K11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L2:L11),COUNT(L2:L11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M2:M11),COUNT(M2:M11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N2:N11),COUNT(N2:N11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O2:O11),COUNT(O2:O11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P2:P11),COUNT(P2:P11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q2:Q11),COUNT(Q2:Q11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R2:R11),COUNT(R2:R11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S2:S11),COUNT(S2:S11)),0)"
official_haiku,baseline,WebTestBench_0003,1,1.0,0.4,0.5714,113,112,348.2,242.0,24.6,81.6,909,108300,6088319,"=IF(COUNT(N14,O14,P14)=0,"""",N14+O14*2+P14*0.1)",21670,"=IF(COUNT(Q14,R14)=0,"""",Q14+R14*3)"
official_haiku,baseline,WebTestBench_0003,2,1.0,1.0,1.0,120,119,380.6,288.3,26.7,65.6,973,116861,6900750,"=IF(COUNT(N15,O15,P15)=0,"""",N15+O15*2+P15*0.1)",24308,"=IF(COUNT(Q15,R15)=0,"""",Q15+R15*3)"
official_haiku,baseline,WebTestBench_0003,3,1.0,0.8,0.8889,118,117,361.6,270.8,29.7,61.1,947,114857,6752283,"=IF(COUNT(N16,O16,P16)=0,"""",N16+O16*2+P16*0.1)",22217,"=IF(COUNT(Q16,R16)=0,"""",Q16+R16*3)"
official_haiku,baseline,WebTestBench_0003,4,1.0,0.6,0.75,126,125,386.7,270.3,28.1,88.3,1019,115887,7519924,"=IF(COUNT(N17,O17,P17)=0,"""",N17+O17*2+P17*0.1)",23649,"=IF(COUNT(Q17,R17)=0,"""",Q17+R17*3)"
official_haiku,baseline,WebTestBench_0003,5,1.0,0.8,0.8889,129,128,366.6,248.1,26.8,91.7,1039,124775,8664273,"=IF(COUNT(N18,O18,P18)=0,"""",N18+O18*2+P18*0.1)",22937,"=IF(COUNT(Q18,R18)=0,"""",Q18+R18*3)"
official_haiku,baseline,WebTestBench_0003,6,1.0,0.4,0.5714,160,159,432.8,297.1,38.8,96.9,1287,137405,11211670,"=IF(COUNT(N19,O19,P19)=0,"""",N19+O19*2+P19*0.1)",26672,"=IF(COUNT(Q19,R19)=0,"""",Q19+R19*3)"
official_haiku,baseline,WebTestBench_0003,7,1.0,0.6,0.75,144,143,393.1,273.8,49.4,69.9,1045,106855,6784356,"=IF(COUNT(N20,O20,P20)=0,"""",N20+O20*2+P20*0.1)",25001,"=IF(COUNT(Q20,R20)=0,"""",Q20+R20*3)"
official_haiku,baseline,WebTestBench_0003,8,1.0,0.4,0.5714,118,117,390.2,272.6,24.2,93.4,947,122039,7487160,"=IF(COUNT(N21,O21,P21)=0,"""",N21+O21*2+P21*0.1)",25992,"=IF(COUNT(Q21,R21)=0,"""",Q21+R21*3)"
official_haiku,baseline,WebTestBench_0003,9,0.8,0.8,0.8,139,138,394.7,286.0,28.6,80.1,1115,125947,8364220,"=IF(COUNT(N22,O22,P22)=0,"""",N22+O22*2+P22*0.1)",24634,"=IF(COUNT(Q22,R22)=0,"""",Q22+R22*3)"
official_haiku,baseline,WebTestBench_0003,10,1.0,0.8,0.8889,133,132,366.1,282.0,27.4,56.7,1067,110908,7206725,"=IF(COUNT(N23,O23,P23)=0,"""",N23+O23*2+P23*0.1)",23154,"=IF(COUNT(Q23,R23)=0,"""",Q23+R23*3)"
official_haiku,baseline,WebTestBench_0003,avg,"=IFERROR(AVERAGE(E14:E23),"""")","=IFERROR(AVERAGE(F14:F23),"""")","=IFERROR(AVERAGE(G14:G23),"""")","=IFERROR(AVERAGE(H14:H23),"""")","=IFERROR(AVERAGE(I14:I23),"""")","=IFERROR(AVERAGE(J14:J23),"""")","=IFERROR(AVERAGE(K14:K23),"""")","=IFERROR(AVERAGE(L14:L23),"""")","=IFERROR(AVERAGE(M14:M23),"""")","=IFERROR(AVERAGE(N14:N23),"""")","=IFERROR(AVERAGE(O14:O23),"""")","=IFERROR(AVERAGE(P14:P23),"""")","=IFERROR(AVERAGE(Q14:Q23),"""")","=IFERROR(AVERAGE(R14:R23),"""")","=IFERROR(AVERAGE(S14:S23),"""")"
official_haiku,baseline,WebTestBench_0003,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E14:E23),COUNT(E14:E23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F14:F23),COUNT(F14:F23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G14:G23),COUNT(G14:G23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H14:H23),COUNT(H14:H23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I14:I23),COUNT(I14:I23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J14:J23),COUNT(J14:J23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K14:K23),COUNT(K14:K23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L14:L23),COUNT(L14:L23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M14:M23),COUNT(M14:M23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N14:N23),COUNT(N14:N23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O14:O23),COUNT(O14:O23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P14:P23),COUNT(P14:P23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q14:Q23),COUNT(Q14:Q23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R14:R23),COUNT(R14:R23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S14:S23),COUNT(S14:S23)),0)"
official_haiku,baseline,WebTestBench_0004,1,1.0,1.0,1.0,149,148,462.1,320.4,35.6,106.1,1197,156590,11591033,"=IF(COUNT(N26,O26,P26)=0,"""",N26+O26*2+P26*0.1)",27366,"=IF(COUNT(Q26,R26)=0,"""",Q26+R26*3)"
official_haiku,baseline,WebTestBench_0004,2,1.0,0.8,0.8889,129,128,458.7,344.9,29.5,84.3,947,132859,7904589,"=IF(COUNT(N27,O27,P27)=0,"""",N27+O27*2+P27*0.1)",22956,"=IF(COUNT(Q27,R27)=0,"""",Q27+R27*3)"
official_haiku,baseline,WebTestBench_0004,3,1.0,0.8,0.8889,149,148,490.3,343.5,41.9,104.9,1195,166768,12297424,"=IF(COUNT(N28,O28,P28)=0,"""",N28+O28*2+P28*0.1)",30601,"=IF(COUNT(Q28,R28)=0,"""",Q28+R28*3)"
official_haiku,baseline,WebTestBench_0004,4,1.0,0.8,0.8889,114,113,357.4,258.6,23.5,75.3,915,120301,6924667,"=IF(COUNT(N29,O29,P29)=0,"""",N29+O29*2+P29*0.1)",23257,"=IF(COUNT(Q29,R29)=0,"""",Q29+R29*3)"
official_haiku,baseline,WebTestBench_0004,5,1.0,0.8,0.8889,119,118,334.4,224.2,25.4,84.8,955,123482,7364917,"=IF(COUNT(N30,O30,P30)=0,"""",N30+O30*2+P30*0.1)",21512,"=IF(COUNT(Q30,R30)=0,"""",Q30+R30*3)"
official_haiku,baseline,WebTestBench_0004,6,0.8,0.8,0.8,125,124,375.5,247.8,30.0,97.7,1005,113434,6697163,"=IF(COUNT(N31,O31,P31)=0,"""",N31+O31*2+P31*0.1)",24347,"=IF(COUNT(Q31,R31)=0,"""",Q31+R31*3)"
official_haiku,baseline,WebTestBench_0004,7,1.0,0.8,0.8889,122,121,353.4,235.6,29.6,88.2,981,143219,9310431,"=IF(COUNT(N32,O32,P32)=0,"""",N32+O32*2+P32*0.1)",21681,"=IF(COUNT(Q32,R32)=0,"""",Q32+R32*3)"
official_haiku,baseline,WebTestBench_0004,8,1.0,1.0,1.0,122,121,366.4,264.0,27.2,75.2,983,129642,7580544,"=IF(COUNT(N33,O33,P33)=0,"""",N33+O33*2+P33*0.1)",22224,"=IF(COUNT(Q33,R33)=0,"""",Q33+R33*3)"
official_haiku,baseline,WebTestBench_0004,9,1.0,1.0,1.0,113,112,371.3,251.7,29.4,90.2,911,117199,6603075,"=IF(COUNT(N34,O34,P34)=0,"""",N34+O34*2+P34*0.1)",24470,"=IF(COUNT(Q34,R34)=0,"""",Q34+R34*3)"
official_haiku,baseline,WebTestBench_0004,10,1.0,0.8,0.8889,117,116,355.4,230.5,26.0,98.9,943,134350,8141111,"=IF(COUNT(N35,O35,P35)=0,"""",N35+O35*2+P35*0.1)",22541,"=IF(COUNT(Q35,R35)=0,"""",Q35+R35*3)"
official_haiku,baseline,WebTestBench_0004,avg,"=IFERROR(AVERAGE(E26:E35),"""")","=IFERROR(AVERAGE(F26:F35),"""")","=IFERROR(AVERAGE(G26:G35),"""")","=IFERROR(AVERAGE(H26:H35),"""")","=IFERROR(AVERAGE(I26:I35),"""")","=IFERROR(AVERAGE(J26:J35),"""")","=IFERROR(AVERAGE(K26:K35),"""")","=IFERROR(AVERAGE(L26:L35),"""")","=IFERROR(AVERAGE(M26:M35),"""")","=IFERROR(AVERAGE(N26:N35),"""")","=IFERROR(AVERAGE(O26:O35),"""")","=IFERROR(AVERAGE(P26:P35),"""")","=IFERROR(AVERAGE(Q26:Q35),"""")","=IFERROR(AVERAGE(R26:R35),"""")","=IFERROR(AVERAGE(S26:S35),"""")"
official_haiku,baseline,WebTestBench_0004,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E26:E35),COUNT(E26:E35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F26:F35),COUNT(F26:F35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G26:G35),COUNT(G26:G35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H26:H35),COUNT(H26:H35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I26:I35),COUNT(I26:I35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J26:J35),COUNT(J26:J35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K26:K35),COUNT(K26:K35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L26:L35),COUNT(L26:L35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M26:M35),COUNT(M26:M35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N26:N35),COUNT(N26:N35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O26:O35),COUNT(O26:O35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P26:P35),COUNT(P26:P35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q26:Q35),COUNT(Q26:Q35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R26:R35),COUNT(R26:R35)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S26:S35),COUNT(S26:S35)),0)"
official_haiku,baseline,WebTestBench_0005,1,1.0,0.8,0.8889,169,168,494.3,388.5,33.4,72.4,1361,119016,10652259,"=IF(COUNT(N38,O38,P38)=0,"""",N38+O38*2+P38*0.1)",29469,"=IF(COUNT(Q38,R38)=0,"""",Q38+R38*3)"
official_haiku,baseline,WebTestBench_0005,2,1.0,0.8,0.8889,148,147,461.7,338.6,29.0,94.1,1189,114624,9122011,"=IF(COUNT(N39,O39,P39)=0,"""",N39+O39*2+P39*0.1)",27060,"=IF(COUNT(Q39,R39)=0,"""",Q39+R39*3)"
