run_id,condition,app,rep,overall_precision,overall_recall,overall_f1,num_turns,tool_calls,duration_s,model_s,tool_s,other_s,input_tokens,cache_creation_tokens,cache_read_tokens,effective_input_tokens,output_tokens,effective_tokens
official_opus_baseline,baseline,WebTestBench_0001,1,1.0,0.8333,0.9091,206,205,723.6,568.2,113.2,42.2,392,124643,13770247,"=IF(COUNT(N2,O2,P2)=0,"""",N2+O2*2+P2*0.1)",38652,"=IF(COUNT(Q2,R2)=0,"""",Q2+R2*3)"
official_opus_baseline,baseline,WebTestBench_0001,2,0.6667,1.0,0.8,233,232,843.7,660.8,124.5,58.4,464,148984,19004047,"=IF(COUNT(N3,O3,P3)=0,"""",N3+O3*2+P3*0.1)",44563,"=IF(COUNT(Q3,R3)=0,"""",Q3+R3*3)"
official_opus_baseline,baseline,WebTestBench_0001,3,1.0,0.6667,0.8,209,208,846.4,659.2,109.9,77.3,396,157235,17821846,"=IF(COUNT(N4,O4,P4)=0,"""",N4+O4*2+P4*0.1)",48587,"=IF(COUNT(Q4,R4)=0,"""",Q4+R4*3)"
official_opus_baseline,baseline,WebTestBench_0001,4,0.7143,0.8333,0.7692,234,233,899.7,713.1,124.3,62.3,466,148322,18973764,"=IF(COUNT(N5,O5,P5)=0,"""",N5+O5*2+P5*0.1)",48862,"=IF(COUNT(Q5,R5)=0,"""",Q5+R5*3)"
official_opus_baseline,baseline,WebTestBench_0001,5,1.0,0.6667,0.8,192,191,801.0,590.2,103.4,107.4,352,132629,12812861,"=IF(COUNT(N6,O6,P6)=0,"""",N6+O6*2+P6*0.1)",44970,"=IF(COUNT(Q6,R6)=0,"""",Q6+R6*3)"
official_opus_baseline,baseline,WebTestBench_0001,6,1.0,0.6667,0.8,207,206,686.1,522.1,112.2,51.8,386,129771,14300920,"=IF(COUNT(N7,O7,P7)=0,"""",N7+O7*2+P7*0.1)",37370,"=IF(COUNT(Q7,R7)=0,"""",Q7+R7*3)"
official_opus_baseline,baseline,WebTestBench_0001,7,1.0,0.8333,0.9091,238,237,858.4,675.8,133.7,48.9,452,158085,20178068,"=IF(COUNT(N8,O8,P8)=0,"""",N8+O8*2+P8*0.1)",44876,"=IF(COUNT(Q8,R8)=0,"""",Q8+R8*3)"
official_opus_baseline,baseline,WebTestBench_0001,8,1.0,0.6667,0.8,209,208,774.0,582.0,105.9,86.1,416,141294,16728596,"=IF(COUNT(N9,O9,P9)=0,"""",N9+O9*2+P9*0.1)",44611,"=IF(COUNT(Q9,R9)=0,"""",Q9+R9*3)"
official_opus_baseline,baseline,WebTestBench_0001,9,1.0,0.8333,0.9091,215,214,826.0,645.4,105.7,74.9,414,144972,16344377,"=IF(COUNT(N10,O10,P10)=0,"""",N10+O10*2+P10*0.1)",45758,"=IF(COUNT(Q10,R10)=0,"""",Q10+R10*3)"
official_opus_baseline,baseline,WebTestBench_0001,10,0.6667,0.6667,0.6667,194,193,721.9,561.8,113.9,46.2,374,131044,13255854,"=IF(COUNT(N11,O11,P11)=0,"""",N11+O11*2+P11*0.1)",39841,"=IF(COUNT(Q11,R11)=0,"""",Q11+R11*3)"
