run_id,condition,app,rep,overall_precision,overall_recall,overall_f1,num_turns,tool_calls,duration_s,model_s,tool_s,other_s,input_tokens,cache_creation_tokens,cache_read_tokens,effective_input_tokens,output_tokens,effective_tokens
official_sonnet-5,baseline,WebTestBench_0001,1,1.0,0.6667,0.8,143,141,485.4,343.6,29.5,112.3,251,274480,9118629,"=IF(COUNT(N2,O2,P2)=0,"""",N2+O2*2+P2*0.1)",25278,"=IF(COUNT(Q2,R2)=0,"""",Q2+R2*3)"
official_sonnet-5,baseline,WebTestBench_0001,2,0.6667,0.6667,0.6667,194,191,712.9,461.2,44.4,207.3,353,355321,15012142,"=IF(COUNT(N3,O3,P3)=0,"""",N3+O3*2+P3*0.1)",35522,"=IF(COUNT(Q3,R3)=0,"""",Q3+R3*3)"
official_sonnet-5,baseline,WebTestBench_0001,3,1.0,0.6667,0.8,243,241,629.0,429.9,57.1,142.0,331,378602,14213436,"=IF(COUNT(N4,O4,P4)=0,"""",N4+O4*2+P4*0.1)",37082,"=IF(COUNT(Q4,R4)=0,"""",Q4+R4*3)"
official_sonnet-5,baseline,WebTestBench_0001,4,1.0,0.8333,0.9091,232,229,716.1,464.3,50.4,201.4,383,485951,15313761,"=IF(COUNT(N5,O5,P5)=0,"""",N5+O5*2+P5*0.1)",37453,"=IF(COUNT(Q5,R5)=0,"""",Q5+R5*3)"
official_sonnet-5,baseline,WebTestBench_0001,5,0.4286,0.5,0.4615,130,128,393.3,259.8,26.0,107.5,231,232047,8129743,"=IF(COUNT(N6,O6,P6)=0,"""",N6+O6*2+P6*0.1)",21656,"=IF(COUNT(Q6,R6)=0,"""",Q6+R6*3)"
official_sonnet-5,baseline,WebTestBench_0001,6,0.375,0.5,0.4286,150,148,536.1,376.6,38.1,121.4,245,333242,9174224,"=IF(COUNT(N7,O7,P7)=0,"""",N7+O7*2+P7*0.1)",32490,"=IF(COUNT(Q7,R7)=0,"""",Q7+R7*3)"
official_sonnet-5,baseline,WebTestBench_0001,7,1.0,0.6667,0.8,167,165,531.7,356.8,39.4,135.5,311,343145,13441845,"=IF(COUNT(N8,O8,P8)=0,"""",N8+O8*2+P8*0.1)",29667,"=IF(COUNT(Q8,R8)=0,"""",Q8+R8*3)"
official_sonnet-5,baseline,WebTestBench_0001,8,0.25,0.3333,0.2857,164,162,513.7,332.0,41.8,139.9,279,262349,10583804,"=IF(COUNT(N9,O9,P9)=0,"""",N9+O9*2+P9*0.1)",26740,"=IF(COUNT(Q9,R9)=0,"""",Q9+R9*3)"
official_sonnet-5,baseline,WebTestBench_0001,9,1.0,0.6667,0.8,290,288,783.6,577.7,72.7,133.2,549,264907,19579998,"=IF(COUNT(N10,O10,P10)=0,"""",N10+O10*2+P10*0.1)",44233,"=IF(COUNT(Q10,R10)=0,"""",Q10+R10*3)"
official_sonnet-5,baseline,WebTestBench_0001,10,0.75,0.5,0.6,179,177,517.3,375.6,37.8,103.9,289,336770,11958998,"=IF(COUNT(N11,O11,P11)=0,"""",N11+O11*2+P11*0.1)",28921,"=IF(COUNT(Q11,R11)=0,"""",Q11+R11*3)"
official_sonnet-5,baseline,WebTestBench_0001,avg,"=IFERROR(AVERAGE(E2:E11),"""")","=IFERROR(AVERAGE(F2:F11),"""")","=IFERROR(AVERAGE(G2:G11),"""")","=IFERROR(AVERAGE(H2:H11),"""")","=IFERROR(AVERAGE(I2:I11),"""")","=IFERROR(AVERAGE(J2:J11),"""")","=IFERROR(AVERAGE(K2:K11),"""")","=IFERROR(AVERAGE(L2:L11),"""")","=IFERROR(AVERAGE(M2:M11),"""")","=IFERROR(AVERAGE(N2:N11),"""")","=IFERROR(AVERAGE(O2:O11),"""")","=IFERROR(AVERAGE(P2:P11),"""")","=IFERROR(AVERAGE(Q2:Q11),"""")","=IFERROR(AVERAGE(R2:R11),"""")","=IFERROR(AVERAGE(S2:S11),"""")"
official_sonnet-5,baseline,WebTestBench_0001,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E2:E11),COUNT(E2:E11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F2:F11),COUNT(F2:F11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G2:G11),COUNT(G2:G11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H2:H11),COUNT(H2:H11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I2:I11),COUNT(I2:I11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J2:J11),COUNT(J2:J11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K2:K11),COUNT(K2:K11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L2:L11),COUNT(L2:L11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M2:M11),COUNT(M2:M11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N2:N11),COUNT(N2:N11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O2:O11),COUNT(O2:O11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P2:P11),COUNT(P2:P11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q2:Q11),COUNT(Q2:Q11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R2:R11),COUNT(R2:R11)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S2:S11),COUNT(S2:S11)),0)"
official_sonnet-5,baseline,WebTestBench_0003,1,1.0,1.0,1.0,122,121,303.4,250.3,28.2,24.9,219,139392,6818503,"=IF(COUNT(N14,O14,P14)=0,"""",N14+O14*2+P14*0.1)",18743,"=IF(COUNT(Q14,R14)=0,"""",Q14+R14*3)"
official_sonnet-5,baseline,WebTestBench_0003,2,1.0,1.0,1.0,105,104,247.4,207.2,23.1,17.1,181,109727,4689671,"=IF(COUNT(N15,O15,P15)=0,"""",N15+O15*2+P15*0.1)",15745,"=IF(COUNT(Q15,R15)=0,"""",Q15+R15*3)"
official_sonnet-5,baseline,WebTestBench_0003,3,1.0,1.0,1.0,127,126,309.3,249.8,33.6,25.9,231,141573,7993033,"=IF(COUNT(N16,O16,P16)=0,"""",N16+O16*2+P16*0.1)",18914,"=IF(COUNT(Q16,R16)=0,"""",Q16+R16*3)"
official_sonnet-5,baseline,WebTestBench_0003,4,1.0,1.0,1.0,127,126,449.5,393.6,25.9,30.0,215,151189,8340909,"=IF(COUNT(N17,O17,P17)=0,"""",N17+O17*2+P17*0.1)",22588,"=IF(COUNT(Q17,R17)=0,"""",Q17+R17*3)"
official_sonnet-5,baseline,WebTestBench_0003,5,1.0,1.0,1.0,136,135,323.4,257.7,30.8,34.9,245,149920,8693574,"=IF(COUNT(N18,O18,P18)=0,"""",N18+O18*2+P18*0.1)",20807,"=IF(COUNT(Q18,R18)=0,"""",Q18+R18*3)"
official_sonnet-5,baseline,WebTestBench_0003,6,1.0,1.0,1.0,134,133,320.4,268.1,33.1,19.2,235,143887,7680706,"=IF(COUNT(N19,O19,P19)=0,"""",N19+O19*2+P19*0.1)",21015,"=IF(COUNT(Q19,R19)=0,"""",Q19+R19*3)"
official_sonnet-5,baseline,WebTestBench_0003,7,1.0,1.0,1.0,154,153,368.1,306.1,34.9,27.1,273,158842,10261171,"=IF(COUNT(N20,O20,P20)=0,"""",N20+O20*2+P20*0.1)",23676,"=IF(COUNT(Q20,R20)=0,"""",Q20+R20*3)"
official_sonnet-5,baseline,WebTestBench_0003,8,1.0,1.0,1.0,127,126,275.2,209.0,25.9,40.3,205,143155,6887808,"=IF(COUNT(N21,O21,P21)=0,"""",N21+O21*2+P21*0.1)",18747,"=IF(COUNT(Q21,R21)=0,"""",Q21+R21*3)"
official_sonnet-5,baseline,WebTestBench_0003,9,1.0,1.0,1.0,129,128,299.0,239.5,28.8,30.7,221,143408,7542636,"=IF(COUNT(N22,O22,P22)=0,"""",N22+O22*2+P22*0.1)",19404,"=IF(COUNT(Q22,R22)=0,"""",Q22+R22*3)"
official_sonnet-5,baseline,WebTestBench_0003,10,1.0,1.0,1.0,138,137,343.3,278.9,31.9,32.5,245,156131,8419723,"=IF(COUNT(N23,O23,P23)=0,"""",N23+O23*2+P23*0.1)",21854,"=IF(COUNT(Q23,R23)=0,"""",Q23+R23*3)"
official_sonnet-5,baseline,WebTestBench_0003,avg,"=IFERROR(AVERAGE(E14:E23),"""")","=IFERROR(AVERAGE(F14:F23),"""")","=IFERROR(AVERAGE(G14:G23),"""")","=IFERROR(AVERAGE(H14:H23),"""")","=IFERROR(AVERAGE(I14:I23),"""")","=IFERROR(AVERAGE(J14:J23),"""")","=IFERROR(AVERAGE(K14:K23),"""")","=IFERROR(AVERAGE(L14:L23),"""")","=IFERROR(AVERAGE(M14:M23),"""")","=IFERROR(AVERAGE(N14:N23),"""")","=IFERROR(AVERAGE(O14:O23),"""")","=IFERROR(AVERAGE(P14:P23),"""")","=IFERROR(AVERAGE(Q14:Q23),"""")","=IFERROR(AVERAGE(R14:R23),"""")","=IFERROR(AVERAGE(S14:S23),"""")"
official_sonnet-5,baseline,WebTestBench_0003,± 95% CI,"=IFERROR(CONFIDENCE.T(0.05,STDEV(E14:E23),COUNT(E14:E23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(F14:F23),COUNT(F14:F23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(G14:G23),COUNT(G14:G23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(H14:H23),COUNT(H14:H23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(I14:I23),COUNT(I14:I23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(J14:J23),COUNT(J14:J23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(K14:K23),COUNT(K14:K23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(L14:L23),COUNT(L14:L23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(M14:M23),COUNT(M14:M23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(N14:N23),COUNT(N14:N23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(O14:O23),COUNT(O14:O23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(P14:P23),COUNT(P14:P23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(Q14:Q23),COUNT(Q14:Q23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(R14:R23),COUNT(R14:R23)),0)","=IFERROR(CONFIDENCE.T(0.05,STDEV(S14:S23),COUNT(S14:S23)),0)"
official_sonnet-5,baseline,WebTestBench_0004,1,1.0,1.0,1.0,146,144,387.5,244.9,38.3,104.3,251,180557,9262052,"=IF(COUNT(N26,O26,P26)=0,"""",N26+O26*2+P26*0.1)",18295,"=IF(COUNT(Q26,R26)=0,"""",Q26+R26*3)"
official_sonnet-5,baseline,WebTestBench_0004,2,1.0,1.0,1.0,150,148,399.4,265.1,34.8,99.5,261,221796,9293170,"=IF(COUNT(N27,O27,P27)=0,"""",N27+O27*2+P27*0.1)",20325,"=IF(COUNT(Q27,R27)=0,"""",Q27+R27*3)"
official_sonnet-5,baseline,WebTestBench_0004,3,1.0,1.0,1.0,162,160,404.8,267.6,37.2,100.0,307,221629,10419469,"=IF(COUNT(N28,O28,P28)=0,"""",N28+O28*2+P28*0.1)",19899,"=IF(COUNT(Q28,R28)=0,"""",Q28+R28*3)"
official_sonnet-5,baseline,WebTestBench_0004,4,1.0,1.0,1.0,146,144,406.2,256.9,34.0,115.3,279,187509,11191346,"=IF(COUNT(N29,O29,P29)=0,"""",N29+O29*2+P29*0.1)",20003,"=IF(COUNT(Q29,R29)=0,"""",Q29+R29*3)"
official_sonnet-5,baseline,WebTestBench_0004,5,1.0,1.0,1.0,140,138,354.5,228.5,33.0,93.0,265,188595,10377574,"=IF(COUNT(N30,O30,P30)=0,"""",N30+O30*2+P30*0.1)",17809,"=IF(COUNT(Q30,R30)=0,"""",Q30+R30*3)"
official_sonnet-5,baseline,WebTestBench_0004,6,1.0,1.0,1.0,141,140,279.6,217.2,32.3,30.1,243,173293,9353914,"=IF(COUNT(N31,O31,P31)=0,"""",N31+O31*2+P31*0.1)",17522,"=IF(COUNT(Q31,R31)=0,"""",Q31+R31*3)"
official_sonnet-5,baseline,WebTestBench_0004,7,1.0,0.6,0.75,137,136,285.9,227.4,31.5,27.0,253,163600,9635906,"=IF(COUNT(N32,O32,P32)=0,"""",N32+O32*2+P32*0.1)",17267,"=IF(COUNT(Q32,R32)=0,"""",Q32+R32*3)"
official_sonnet-5,baseline,WebTestBench_0004,8,1.0,1.0,1.0,135,133,347.5,222.5,33.2,91.8,247,182253,9585364,"=IF(COUNT(N33,O33,P33)=0,"""",N33+O33*2+P33*0.1)",17552,"=IF(COUNT(Q33,R33)=0,"""",Q33+R33*3)"
official_sonnet-5,baseline,WebTestBench_0004,9,1.0,1.0,1.0,134,133,300.1,238.6,33.5,28.0,249,174788,9669889,"=IF(COUNT(N34,O34,P34)=0,"""",N34+O34*2+P34*0.1)",16943,"=IF(COUNT(Q34,R34)=0,"""",Q34+R34*3)"
official_sonnet-5,baseline,WebTestBench_0004,10,1.0,1.0,1.0,146,144,394.7,262.1,34.0,98.6,355,214138,9528677,"=IF(COUNT(N35,O35,P35)=0,"""",N35+O35*2+P35*0.1)",20160,"=IF(COUNT(Q35,R35)=0,"""",Q35+R35*3)"
official_sonnet-5,baseline,WebTestBench_0004,avg,"=IFERROR(AVERAGE(E26:E35),"""")","=IFERROR(AVERAGE(F26:F35),"""")","=IFERROR(AVERAGE(G26:G35),"""")","=IFERROR(AVERAGE(H26:H35),"""")","=IFERROR(AVERAGE(I26:I35),"""")","=IFERROR(AVERAGE(J26:J35),"""")","=IFERROR(AVERAGE(K26:K35),"""")","=IFERROR(AVERAGE(L26:L35),"""")","=IFERROR(AVERAGE(M26:M35),"""")","=IFERROR(AVERAGE(N26:N35),"""")","=IFERROR(AVERAGE(O26:O35),"""")","=IFERROR(AVERAGE(P26:P35),"""")","=IFERROR(AVERAGE(Q26:Q35),"""")","=IFERROR(AVERAGE(R26:R35),"""")","=IFERROR(AVERAGE(S26:S35),"""")"
