App,,Precision,Recall,F1,Effective input tokens,Output tokens,Effective tokens,Duration (s)
WebTestBench_0001,Baseline,=metrics!E12,=metrics!F12,=metrics!G12,=metrics!Q12,=metrics!R12,=metrics!S12,=metrics!J12
,± 95% CI,=metrics!E13,=metrics!F13,=metrics!G13,=metrics!Q13,=metrics!R13,=metrics!S13,=metrics!J13
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C4-C2,"""")","=IFERROR(D4-D2,"""")","=IFERROR(E4-E2,"""")","=IFERROR((F4-F2)/ABS(F2),"""")","=IFERROR((G4-G2)/ABS(G2),"""")","=IFERROR((H4-H2)/ABS(H2),"""")","=IFERROR((I4-I2)/ABS(I2),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0003,Baseline,=metrics!E24,=metrics!F24,=metrics!G24,=metrics!Q24,=metrics!R24,=metrics!S24,=metrics!J24
,± 95% CI,=metrics!E25,=metrics!F25,=metrics!G25,=metrics!Q25,=metrics!R25,=metrics!S25,=metrics!J25
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C10-C8,"""")","=IFERROR(D10-D8,"""")","=IFERROR(E10-E8,"""")","=IFERROR((F10-F8)/ABS(F8),"""")","=IFERROR((G10-G8)/ABS(G8),"""")","=IFERROR((H10-H8)/ABS(H8),"""")","=IFERROR((I10-I8)/ABS(I8),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0004,Baseline,=metrics!E36,=metrics!F36,=metrics!G36,=metrics!Q36,=metrics!R36,=metrics!S36,=metrics!J36
,± 95% CI,=metrics!E37,=metrics!F37,=metrics!G37,=metrics!Q37,=metrics!R37,=metrics!S37,=metrics!J37
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C16-C14,"""")","=IFERROR(D16-D14,"""")","=IFERROR(E16-E14,"""")","=IFERROR((F16-F14)/ABS(F14),"""")","=IFERROR((G16-G14)/ABS(G14),"""")","=IFERROR((H16-H14)/ABS(H14),"""")","=IFERROR((I16-I14)/ABS(I14),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0005,Baseline,=metrics!E48,=metrics!F48,=metrics!G48,=metrics!Q48,=metrics!R48,=metrics!S48,=metrics!J48
,± 95% CI,=metrics!E49,=metrics!F49,=metrics!G49,=metrics!Q49,=metrics!R49,=metrics!S49,=metrics!J49
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C22-C20,"""")","=IFERROR(D22-D20,"""")","=IFERROR(E22-E20,"""")","=IFERROR((F22-F20)/ABS(F20),"""")","=IFERROR((G22-G20)/ABS(G20),"""")","=IFERROR((H22-H20)/ABS(H20),"""")","=IFERROR((I22-I20)/ABS(I20),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0006,Baseline,=metrics!E60,=metrics!F60,=metrics!G60,=metrics!Q60,=metrics!R60,=metrics!S60,=metrics!J60
,± 95% CI,=metrics!E61,=metrics!F61,=metrics!G61,=metrics!Q61,=metrics!R61,=metrics!S61,=metrics!J61
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C28-C26,"""")","=IFERROR(D28-D26,"""")","=IFERROR(E28-E26,"""")","=IFERROR((F28-F26)/ABS(F26),"""")","=IFERROR((G28-G26)/ABS(G26),"""")","=IFERROR((H28-H26)/ABS(H26),"""")","=IFERROR((I28-I26)/ABS(I26),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0010,Baseline,=metrics!E72,=metrics!F72,=metrics!G72,=metrics!Q72,=metrics!R72,=metrics!S72,=metrics!J72
,± 95% CI,=metrics!E73,=metrics!F73,=metrics!G73,=metrics!Q73,=metrics!R73,=metrics!S73,=metrics!J73
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C34-C32,"""")","=IFERROR(D34-D32,"""")","=IFERROR(E34-E32,"""")","=IFERROR((F34-F32)/ABS(F32),"""")","=IFERROR((G34-G32)/ABS(G32),"""")","=IFERROR((H34-H32)/ABS(H32),"""")","=IFERROR((I34-I32)/ABS(I32),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0019,Baseline,=metrics!E84,=metrics!F84,=metrics!G84,=metrics!Q84,=metrics!R84,=metrics!S84,=metrics!J84
,± 95% CI,=metrics!E85,=metrics!F85,=metrics!G85,=metrics!Q85,=metrics!R85,=metrics!S85,=metrics!J85
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C40-C38,"""")","=IFERROR(D40-D38,"""")","=IFERROR(E40-E38,"""")","=IFERROR((F40-F38)/ABS(F38),"""")","=IFERROR((G40-G38)/ABS(G38),"""")","=IFERROR((H40-H38)/ABS(H38),"""")","=IFERROR((I40-I38)/ABS(I38),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0023,Baseline,=metrics!E96,=metrics!F96,=metrics!G96,=metrics!Q96,=metrics!R96,=metrics!S96,=metrics!J96
,± 95% CI,=metrics!E97,=metrics!F97,=metrics!G97,=metrics!Q97,=metrics!R97,=metrics!S97,=metrics!J97
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C46-C44,"""")","=IFERROR(D46-D44,"""")","=IFERROR(E46-E44,"""")","=IFERROR((F46-F44)/ABS(F44),"""")","=IFERROR((G46-G44)/ABS(G44),"""")","=IFERROR((H46-H44)/ABS(H44),"""")","=IFERROR((I46-I44)/ABS(I44),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0045,Baseline,=metrics!E108,=metrics!F108,=metrics!G108,=metrics!Q108,=metrics!R108,=metrics!S108,=metrics!J108
,± 95% CI,=metrics!E109,=metrics!F109,=metrics!G109,=metrics!Q109,=metrics!R109,=metrics!S109,=metrics!J109
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,Effect,"=IFERROR(C52-C50,"""")","=IFERROR(D52-D50,"""")","=IFERROR(E52-E50,"""")","=IFERROR((F52-F50)/ABS(F50),"""")","=IFERROR((G52-G50)/ABS(G50),"""")","=IFERROR((H52-H50)/ABS(H50),"""")","=IFERROR((I52-I50)/ABS(I50),"""")"
,p-value,n/a,n/a,n/a,n/a,n/a,n/a,n/a
WebTestBench_0054,Baseline,=metrics!E120,=metrics!F120,=metrics!G120,=metrics!Q120,=metrics!R120,=metrics!S120,=metrics!J120
,± 95% CI,=metrics!E121,=metrics!F121,=metrics!G121,=metrics!Q121,=metrics!R121,=metrics!S121,=metrics!J121
,Hinted,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,± 95% CI,n/a,n/a,n/a,n/a,n/a,n/a,n/a
